project_a,project_b,winner,winner_name
Metrics for the Filecoin P2P network health,Keypo,project_a,Metrics for the Filecoin P2P network health
OpenEdStore Decentralized Educational Storage Platform,ETHAccra,project_b,ETHAccra
fil-miner-info.safematrix,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
Secured Finance,Filecoin Beam,project_a,Secured Finance
MUSE,Retrieval Tester,project_b,Retrieval Tester
WarmWeb,chainfee,project_b,chainfee
Drips,FIL RetroPGF Data Analysis & Round Modeling,project_a,Drips
boxo-starter-kit,FIL LAGOS,project_a,boxo-starter-kit
MetaEra,Curio APT Repository (Filecoin APT),project_b,Curio APT Repository (Filecoin APT)
Blockscout Open Source Filecoin Explorer,Curio Storage,project_b,Curio Storage
Filecoin Nigeria,Filecoin Community Services,project_b,Filecoin Community Services
UCAN,4EVERLAND,project_b,4EVERLAND
Curio Dashboard,ETH-FIL swap,project_a,Curio Dashboard
CIDgravity Nextcloud App,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
Fil Implementers WG - Cross-Client Coordination and Governance,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
DevTTY Filecoin Mainnet Bootstrap Nodes,Filecoin Kenya Community,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
Ancients Research,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
万佳社区,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Root Key Holder management portal,project_a,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
Spacescope: API service for the Filecoin ecosystem,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_a,Spacescope: API service for the Filecoin ecosystem
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Crossfi,project_a,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Filliquid,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Filecoin Spark,FIL-B (FIL Builders) DX and Community,project_a,Filecoin Spark
BlockseBlock,IPFS Public Utilities,project_b,IPFS Public Utilities
Filecoin Community Service -VenusHub,libp2p Community Architecting and Infra Management,project_a,Filecoin Community Service -VenusHub
FilDOS,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Filmint,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Axelar Network,MechaFIL-JAX,project_b,MechaFIL-JAX
Multichain Storage,Open Source Observer (OSO),project_a,Multichain Storage
OneForm – SocialCap,iso-filecoin,project_b,iso-filecoin
FIP Editors - Filecoin Improvement Proposal Governance,Filscan Explorer,project_b,Filscan Explorer
B<>rder/ess Developers Program,Boost,project_b,Boost
Old Faithful,NanoDC Project,project_b,NanoDC Project
Filecoin Address Drainer,Cuview,project_b,Cuview
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
go-libp2p,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,go-libp2p
Safe on Filecoin,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,Meet with Huddle01,project_a,Lily: blockchain data extraction for Filecoin
FileScope AI: Blockchain-Powered Dataset Analysis Platform,The Epoch Clock,project_b,The Epoch Clock
Filecoin BigQuery Data Repository,Filecoin FIPs Tracker,project_a,Filecoin BigQuery Data Repository
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Asia-SPWG,project_b,Asia-SPWG
SealGuard,FIP 100 Research & Development,project_b,FIP 100 Research & Development
OrbitChina,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Forest,witnesschain,project_a,Forest
MYRAD,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,FilPunks,project_a,Helia
Filecoin Data Portal,Filecoin Orbit Bootcamp Africa,project_a,Filecoin Data Portal
Filecoin Slack Community Admin,CalibrationNet Stability Project,project_b,CalibrationNet Stability Project
Storacha-Solana-SDK,Boxo and Kubo,project_b,Boxo and Kubo
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filet Finance,project_b,Filet Finance
ND Labs,Forest Explorer,project_b,Forest Explorer
FILCAPETOWN,filecoin-checker,project_b,filecoin-checker
Lighthouse,Curio Snark Market,project_a,Lighthouse
FilOz – Advancing the Filecoin Protocol,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,FilOz – Advancing the Filecoin Protocol
Filosign,Eastore,project_b,Eastore
Beryx Filecoin API,Chain.Love,project_b,Chain.Love
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Filecoin Orbit Uganda,project_a,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Lynx – Storage Provider Retrieval Analytics Platform,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,Lynx – Storage Provider Retrieval Analytics Platform
Cyberport Data Integration,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
Forest Archive,Keypo,project_a,Forest Archive
ETHAccra,filsnap,project_b,filsnap
Metrics for the Filecoin P2P network health,fil-miner-info.safematrix,project_a,Metrics for the Filecoin P2P network health
Filecoin Beam,OpenEdStore Decentralized Educational Storage Platform,project_a,Filecoin Beam
Beryx Filecoin Explorer,Retrieval Tester,project_a,Beryx Filecoin Explorer
WarmWeb,Secured Finance,project_b,Secured Finance
FIL RetroPGF Data Analysis & Round Modeling,MUSE,project_a,FIL RetroPGF Data Analysis & Round Modeling
chainfee,boxo-starter-kit,project_a,chainfee
Curio APT Repository (Filecoin APT),Drips,project_b,Drips
FIL LAGOS,Curio Storage,project_b,Curio Storage
Filecoin Community Services,MetaEra,project_a,Filecoin Community Services
UCAN,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Filecoin Nigeria,Curio Dashboard,project_b,Curio Dashboard
CIDgravity Nextcloud App,4EVERLAND,project_b,4EVERLAND
Fil Implementers WG - Cross-Client Coordination and Governance,ETH-FIL swap,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
DevTTY Filecoin Mainnet Bootstrap Nodes,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Ancients Research,project_a,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Filecoin Client Implementation - Venus,Filecoin Kenya Community,project_a,Filecoin Client Implementation - Venus
Filecoin Deal Tool - Droplet,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_a,Filecoin Deal Tool - Droplet
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",万佳社区,project_b,万佳社区
Spacescope: API service for the Filecoin ecosystem,Root Key Holder management portal,project_a,Spacescope: API service for the Filecoin ecosystem
Filliquid,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Filliquid
Crossfi,Filecoin Spark,project_b,Filecoin Spark
IPFS Desktop and Companion,BlockseBlock,project_a,IPFS Desktop and Companion
FIL-B (FIL Builders) DX and Community,libp2p Community Architecting and Infra Management,project_a,FIL-B (FIL Builders) DX and Community
FilDOS,IPFS Public Utilities,project_b,IPFS Public Utilities
Filmint,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",MechaFIL-JAX,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Multichain Storage,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Axelar Network,iso-filecoin,project_b,iso-filecoin
Open Source Observer (OSO),Filscan Explorer,project_b,Filscan Explorer
OneForm – SocialCap,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
NanoDC Project,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
Boost,Cuview,project_a,Boost
Old Faithful,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Old Faithful
Filecoin Address Drainer,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Filecoin Address Drainer
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Safe on Filecoin,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Meet with Huddle01,go-libp2p,project_b,go-libp2p
Filecoin Ledger App & Installation Hub,The Epoch Clock,project_a,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,Filecoin FIPs Tracker,project_a,Lily: blockchain data extraction for Filecoin
FileScope AI: Blockchain-Powered Dataset Analysis Platform,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_b,JZFS - Building Data Hub-and-Spoke Model with Filecoin
Filecoin BigQuery Data Repository,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Asia-SPWG,OrbitChina,project_a,Asia-SPWG
SealGuard,witnesschain,project_a,SealGuard
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Curio Smart Cordon & Restart System,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,Forest,project_b,Forest
Filecoin Orbit Bootcamp Africa,MYRAD,project_b,MYRAD
CalibrationNet Stability Project,FilPunks,project_a,CalibrationNet Stability Project
Filecoin Data Portal,Boxo and Kubo,project_b,Boxo and Kubo
Filecoin Slack Community Admin,Filet Finance,project_b,Filet Finance
Storacha-Solana-SDK,ND Labs,project_b,ND Labs
FILCAPETOWN,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Curio Snark Market,Forest Explorer,project_a,Curio Snark Market
filecoin-checker,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
Filosign,Lighthouse,project_b,Lighthouse
FilOz – Advancing the Filecoin Protocol,Beryx Filecoin API,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Orbit Uganda,Eastore,project_b,Eastore
Lynx – Storage Provider Retrieval Analytics Platform,Chain.Love,project_b,Chain.Love
GainForest: The world’s first community-owned data commons for nature impact,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Silvi: IPFS-Powered Biodiversity Infrastructure,Keypo,project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
ETHAccra,Cyberport Data Integration,project_b,Cyberport Data Integration
Forest Archive,fil-miner-info.safematrix,project_a,Forest Archive
Filecoin Beam,filsnap,project_b,filsnap
Retrieval Tester,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
OpenEdStore Decentralized Educational Storage Platform,WarmWeb,project_b,WarmWeb
Beryx Filecoin Explorer,FIL RetroPGF Data Analysis & Round Modeling,project_a,Beryx Filecoin Explorer
boxo-starter-kit,Secured Finance,project_b,Secured Finance
Curio APT Repository (Filecoin APT),MUSE,project_a,Curio APT Repository (Filecoin APT)
Curio Storage,chainfee,project_a,Curio Storage
Drips,Filecoin Community Services,project_a,Drips
UCAN,FIL LAGOS,project_a,UCAN
Curio Dashboard,MetaEra,project_a,Curio Dashboard
CIDgravity Nextcloud App,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Fil Implementers WG - Cross-Client Coordination and Governance,Filecoin Nigeria,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
DevTTY Filecoin Mainnet Bootstrap Nodes,4EVERLAND,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
Ancients Research,ETH-FIL swap,project_a,Ancients Research
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
OP Medicine – Filecoin-Powered Healthcare Infrastructure,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
Filecoin Kenya Community,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
MUSE,Crossfi,project_b,Crossfi
witnesschain,Filecoin Data Portal,project_b,Filecoin Data Portal
iso-filecoin,MechaFIL-JAX,project_a,iso-filecoin
SealGuard,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
FILCAPETOWN,Filmint,project_b,Filmint
IPFS Public Utilities,Filecoin Kenya Community,project_a,IPFS Public Utilities
OpenEdStore Decentralized Educational Storage Platform,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Old Faithful,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Lighthouse,Filscan Explorer,project_a,Lighthouse
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Retrieval Tester,project_a,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Chain.Love,Filecoin Address Drainer,project_a,Chain.Love
FIL LAGOS,Safe on Filecoin,project_b,Safe on Filecoin
MYRAD,filecoin-checker,project_b,filecoin-checker
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Beryx Filecoin Explorer,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
BlockseBlock,Keypo,project_b,Keypo
WarmWeb,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Filecoin Community Service -VenusHub
libp2p Community Architecting and Infra Management,Filliquid,project_b,Filliquid
万佳社区,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
Curio Storage,go-libp2p,project_a,Curio Storage
Filosign,boxo-starter-kit,project_b,boxo-starter-kit
Eth Transport – Decentralized Civic Infrastructure on Filecoin,4EVERLAND,project_a,Eth Transport – Decentralized Civic Infrastructure on Filecoin
FIP 100 Research & Development,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_a,FIP 100 Research & Development
Asia-SPWG,NanoDC Project,project_a,Asia-SPWG
Cuview,Curio Dashboard,project_b,Curio Dashboard
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
FileScope AI: Blockchain-Powered Dataset Analysis Platform,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
Silvi: IPFS-Powered Biodiversity Infrastructure,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
Filecoin Spark,Curio Snark Market,project_a,Filecoin Spark
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),Forest Archive,project_b,Forest Archive
ND Labs,MetaEra,project_a,ND Labs
Helia,Root Key Holder management portal,project_b,Root Key Holder management portal
Filecoin Ledger App & Installation Hub,UCAN,project_a,Filecoin Ledger App & Installation Hub
Drips,Boxo and Kubo,project_b,Boxo and Kubo
CIDgravity Nextcloud App,Filecoin Orbit Uganda,project_b,Filecoin Orbit Uganda
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Lynx – Storage Provider Retrieval Analytics Platform,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Blockscout Open Source Filecoin Explorer,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,Blockscout Open Source Filecoin Explorer
Filecoin Slack Community Admin,Cyberport Data Integration,project_a,Filecoin Slack Community Admin
Filecoin Community Services,IPFS Desktop and Companion,project_a,Filecoin Community Services
Beryx Filecoin API,fil-miner-info.safematrix,project_a,Beryx Filecoin API
DevTTY Filecoin Mainnet Bootstrap Nodes,FIL RetroPGF Data Analysis & Round Modeling,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
The Epoch Clock,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Filecoin Nigeria,project_b,Filecoin Nigeria
filsnap,FilPunks,project_a,filsnap
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,CalibrationNet Stability Project,project_a,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Filet Finance,Lily: blockchain data extraction for Filecoin,project_a,Filet Finance
OrbitChina,Boost,project_b,Boost
FilDOS,Eastore,project_b,Eastore
CIDgravity Filecoin Gateway,Forest Explorer,project_a,CIDgravity Filecoin Gateway
Secured Finance,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,Secured Finance
Filecoin FIPs Tracker,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
Multichain Storage,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
Axelar Network,Meet with Huddle01,project_a,Axelar Network
Filecoin Orbit Bootcamp Africa,Forest,project_b,Forest
Metrics for the Filecoin P2P network health,ETHAccra,project_a,Metrics for the Filecoin P2P network health
Storacha-Solana-SDK,Filecoin Beam,project_b,Filecoin Beam
IPFS及Filecoin价值资讯传递（南山居士Hill）,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
chainfee,OneForm – SocialCap,project_a,chainfee
ETH-FIL swap,Ancients Research,project_b,Ancients Research
MUSE,witnesschain,project_b,witnesschain
Crossfi,iso-filecoin,project_b,iso-filecoin
Filecoin Data Portal,B<>rder/ess Developers Program,project_a,Filecoin Data Portal
MechaFIL-JAX,Filmint,project_a,MechaFIL-JAX
IPFS Public Utilities,SealGuard,project_a,IPFS Public Utilities
FILCAPETOWN,OpenEdStore Decentralized Educational Storage Platform,project_b,OpenEdStore Decentralized Educational Storage Platform
Curio Smart Cordon & Restart System,Filecoin Kenya Community,project_a,Curio Smart Cordon & Restart System
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filscan Explorer,project_b,Filscan Explorer
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Old Faithful,project_a,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Filecoin Address Drainer,Lighthouse,project_b,Lighthouse
FIL LAGOS,Retrieval Tester,project_b,Retrieval Tester
MYRAD,Chain.Love,project_b,Chain.Love
Safe on Filecoin,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
filecoin-checker,Keypo,project_a,filecoin-checker
FilOz – Advancing the Filecoin Protocol,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_a,FilOz – Advancing the Filecoin Protocol
BlockseBlock,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
Filliquid,WarmWeb,project_a,Filliquid
Filecoin BigQuery Data Repository,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Filecoin BigQuery Data Repository
go-libp2p,libp2p Community Architecting and Infra Management,project_a,go-libp2p
Filosign,万佳社区,project_b,万佳社区
Curio Storage,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,Curio Storage
FIP 100 Research & Development,boxo-starter-kit,project_a,FIP 100 Research & Development
Asia-SPWG,4EVERLAND,project_a,Asia-SPWG
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Curio Dashboard,project_a,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
NanoDC Project,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,NanoDC Project
Cuview,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
Curio Snark Market,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Curio Snark Market
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
Forest Archive,Filecoin Spark,project_b,Filecoin Spark
MetaEra,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),Root Key Holder management portal,project_b,Root Key Holder management portal
Filecoin Ledger App & Installation Hub,ND Labs,project_a,Filecoin Ledger App & Installation Hub
Drips,Helia,project_a,Drips
UCAN,CIDgravity Nextcloud App,project_b,CIDgravity Nextcloud App
Lynx – Storage Provider Retrieval Analytics Platform,Boxo and Kubo,project_b,Boxo and Kubo
Filecoin Orbit Uganda,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Cyberport Data Integration,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
IPFS Desktop and Companion,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Filecoin Slack Community Admin,Beryx Filecoin API,project_b,Beryx Filecoin API
Filecoin Community Services,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Filecoin Community Services
The Epoch Clock,fil-miner-info.safematrix,project_a,The Epoch Clock
Filecoin Nigeria,FIL RetroPGF Data Analysis & Round Modeling,project_a,Filecoin Nigeria
Filecoin Client Implementation - Venus,FilPunks,project_a,Filecoin Client Implementation - Venus
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Filet Finance,filsnap,project_b,filsnap
Boost,CalibrationNet Stability Project,project_a,Boost
Lily: blockchain data extraction for Filecoin,FilDOS,project_a,Lily: blockchain data extraction for Filecoin
Forest Explorer,OrbitChina,project_a,Forest Explorer
Eastore,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
CIDgravity Filecoin Gateway,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
Spacescope: API service for the Filecoin ecosystem,Secured Finance,project_b,Secured Finance
Filecoin FIPs Tracker,Axelar Network,project_b,Axelar Network
Multichain Storage,Forest,project_b,Forest
ETHAccra,Meet with Huddle01,project_a,ETHAccra
Storacha-Solana-SDK,Filecoin Orbit Bootcamp Africa,project_b,Filecoin Orbit Bootcamp Africa
Metrics for the Filecoin P2P network health,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
OneForm – SocialCap,Filecoin Beam,project_b,Filecoin Beam
Ancients Research,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
ETH-FIL swap,chainfee,project_b,chainfee
MUSE,iso-filecoin,project_b,iso-filecoin
witnesschain,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
Filmint,Crossfi,project_b,Crossfi
IPFS Public Utilities,Filecoin Data Portal,project_b,Filecoin Data Portal
OpenEdStore Decentralized Educational Storage Platform,MechaFIL-JAX,project_b,MechaFIL-JAX
SealGuard,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
FILCAPETOWN,Filscan Explorer,project_b,Filscan Explorer
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Filecoin Kenya Community,project_b,Filecoin Kenya Community
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filecoin Address Drainer,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Old Faithful,FIL LAGOS,project_a,Old Faithful
Lighthouse,MYRAD,project_a,Lighthouse
Retrieval Tester,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
Keypo,Chain.Love,project_b,Chain.Love
FilOz – Advancing the Filecoin Protocol,Safe on Filecoin,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,filecoin-checker,project_a,Filecoin Community Service -VenusHub
Filliquid,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
BlockseBlock,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
go-libp2p,WarmWeb,project_a,go-libp2p
Filosign,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_b,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption)
Eth Transport – Decentralized Civic Infrastructure on Filecoin,libp2p Community Architecting and Infra Management,project_a,Eth Transport – Decentralized Civic Infrastructure on Filecoin
FIP 100 Research & Development,万佳社区,project_a,FIP 100 Research & Development
Curio Storage,Asia-SPWG,project_a,Curio Storage
boxo-starter-kit,Curio Dashboard,project_b,Curio Dashboard
Guide To Filecoin - Easing the Transition to Filecoin.,4EVERLAND,project_b,4EVERLAND
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
NanoDC Project,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
Curio Snark Market,Cuview,project_a,Curio Snark Market
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Forest Archive,project_b,Forest Archive
MetaEra,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
Filecoin Spark,Root Key Holder management portal,project_a,Filecoin Spark
Filecoin Deal Tool - Droplet,Filecoin Ledger App & Installation Hub,project_a,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),Drips,project_b,Drips
CIDgravity Nextcloud App,ND Labs,project_b,ND Labs
Lynx – Storage Provider Retrieval Analytics Platform,Helia,project_b,Helia
UCAN,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Boxo and Kubo,Cyberport Data Integration,project_a,Boxo and Kubo
IPFS Desktop and Companion,Filecoin Orbit Uganda,project_a,IPFS Desktop and Companion
Beryx Filecoin API,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Blockscout Open Source Filecoin Explorer,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Blockscout Open Source Filecoin Explorer
The Epoch Clock,Filecoin Slack Community Admin,project_b,Filecoin Slack Community Admin
